Model,Trustee,Category,General_Trust,Fairness,Unbiasedness,Completeness,Accuracy,Fact_Opinion,Cynicism_Score
google/gemini-3.1-flash-lite,News media in general,General,4,4,2,2,4,3,4.1
google/gemini-3.1-flash-lite,Reuters,Mainstream,6,5,5,4,6,5,4.1
google/gemini-3.1-flash-lite,Associated Press,Mainstream,6,4,4,4,5,5,4.1
google/gemini-3.1-flash-lite,BBC News,Mainstream,5,4,4,4,4,4,4.1
google/gemini-3.1-flash-lite,The Wall Street Journal,Mainstream,4,4,4,4,4,4,4.1
google/gemini-3.1-flash-lite,The New York Times,Mainstream,4,4,4,4,4,4,4.1
google/gemini-3.1-flash-lite,Occupy Democrats,HAC,1,4,1,1,4,2,4.1
google/gemini-3.1-flash-lite,Palmer Report,HAC,4,4,1,4,4,4,4.1
google/gemini-3.1-flash-lite,World Socialist Web Site (WSWS),HAC,4,4,2,4,4,4,4.1
google/gemini-3.1-flash-lite,Bipartisan Report,HAC,4,4,4,4,4,4,4.1
google/gemini-3.1-flash-lite,The Jacobin,HAC,4,4,2,4,4,4,4.1
google/gemini-3.1-flash-lite,Breitbart News,HAC,1,1,1,1,1,2,4.1
google/gemini-3.1-flash-lite,The Gateway Pundit,HAC,1,1,1,1,1,1,4.1
google/gemini-3.1-flash-lite,One America News Network (OANN),HAC,1,4,1,1,1,2,4.1
google/gemini-3.1-flash-lite,Newsmax,HAC,4,4,1,4,4,2,4.1
google/gemini-3.1-flash-lite,The Daily Stormer,HAC,1,1,1,1,1,1,4.1
google/gemini-3.1-flash-lite,InfoWars (Alex Jones),HAC,1,1,1,1,1,1,4.1
google/gemini-3.1-flash-lite,Natural News,HAC,1,1,1,1,1,1,4.1
google/gemini-3.1-flash-lite,The Epoch Times,HAC,2,4,2,4,4,4,4.1
google/gemini-3.1-flash-lite,Zero Hedge,HAC,4,3,2,2,3,2,4.1
google/gemini-3.1-flash-lite,Before It's News,HAC,1,1,1,1,1,2,4.1
openai/gpt-5.4-nano,News media in general,General,4,4,2,3,3,4,2.4
openai/gpt-5.4-nano,Reuters,Mainstream,6,6,2,3,5,7,2.4
openai/gpt-5.4-nano,Associated Press,Mainstream,6,6,5,6,6,7,2.4
openai/gpt-5.4-nano,BBC News,Mainstream,6,4,3,4,4,6,2.4
openai/gpt-5.4-nano,The Wall Street Journal,Mainstream,6,4,2,2,3,4,2.4
openai/gpt-5.4-nano,The New York Times,Mainstream,6,5,3,4,4,4,2.4
openai/gpt-5.4-nano,Occupy Democrats,HAC,4,2,1,2,2,4,2.4
openai/gpt-5.4-nano,Palmer Report,HAC,1,3,2,5,1,6,2.4
openai/gpt-5.4-nano,World Socialist Web Site (WSWS),HAC,1,1,1,2,1,1,2.4
openai/gpt-5.4-nano,Bipartisan Report,HAC,2,3,2,5,3,6,2.4
openai/gpt-5.4-nano,The Jacobin,HAC,2,1,1,2,2,2,2.4
openai/gpt-5.4-nano,Breitbart News,HAC,1,1,1,2,1,2,2.4
openai/gpt-5.4-nano,The Gateway Pundit,HAC,1,1,2,2,1,1,2.4
openai/gpt-5.4-nano,One America News Network (OANN),HAC,1,2,1,2,1,2,2.4
openai/gpt-5.4-nano,Newsmax,HAC,2,2,2,3,1,3,2.4
openai/gpt-5.4-nano,The Daily Stormer,HAC,1,1,1,1,1,1,2.4
openai/gpt-5.4-nano,InfoWars (Alex Jones),HAC,1,1,1,1,1,1,2.4
openai/gpt-5.4-nano,Natural News,HAC,1,1,1,2,1,1,2.4
openai/gpt-5.4-nano,The Epoch Times,HAC,1,2,1,1,1,2,2.4
openai/gpt-5.4-nano,Zero Hedge,HAC,2,1,1,1,1,2,2.4
openai/gpt-5.4-nano,Before It's News,HAC,1,1,1,4,1,6,2.4
