지주회사ID,기술지주회사명,설립인가연월,설립유형,소재지,전담인력_수,전담인력_평균업력,전담인력_평균근속연수,자본금_총자본금,자본금_현금자본비율,자본금_현물자본비율,자본금출자구성비율_산학협력단,자본금출자구성비율_학교법인,자본금출자구성비율_공공기관,자본금출자구성비율_투융자기관,자본금출자구성비율_민간기관,자본금출자구성비율_개인엔젤,수익현황_자회사배당수익,수익현황_자회사지분매각,수익현황_기술이전,수익현황_투자조합배당수익등,수익현황_용역및기타수수료,수익현황_정부사업,수익현황_총수익
H001,한양대학교 기술지주회사(주),2008년 07월,단독,서울,6.0,6.7,2.4,27.7억,90.6,9.4,69.7,0.0,23.1,0.0,7.2,0.0,64,0,0,0,459,0,523
H002,서울대학교 기술지주 주식회사,2008-10,단독,서울,6.0,5.4,2.8,60.3억,64.7,35.3,79.6,3.5,0.0,0.0,16.7,0.2,0,0,0,0,444,854,444
H003,삼육대학교기술지주주식회사,2008-10,단독,서울,5.0,7.0,5.0,48.0억,81.7,18.3,93.8,5.6,0.4,0.2,0.0,0.0,0,0,0,80,202,0,282
H004,서강대학교기술지주 주식회사,2009-01,단독,서울,1.0,8.7,4.1,40.4억,87.4,12.6,84.7,0.2,15.1,0.0,0.0,0.0,0,0,78,0,114,697,192
H005,경희대학교기술지주 주식회사,2009-04,단독,서울,-5.0,5.2,2.8,15.2억,63.2,36.8,55.9,0.0,44.1,0.0,0.0,0.0,13,0,0,0,339,0,352
H006,(주)강원지역대학연합기술지주회사,2009-04,공동,강원,1.0,5.2,4.4,15.2억,47.4,52.6,63.2,0.0,36.8,0.0,0.0,0.0,0,0,63,0,93,0,156
H007,고려대학교 기술지주(주),2009-08,공동, 서울  ,5.0,8.9,3.7,9.6억,57.3,42.7,95.8,0.0,0.0,0.0,0.0,4.2,0,0,0,172,135,279,307
H008,인천대학교 기술지주(주),2009-11,단독, 인천  ,1.0,7.2,5.1,55.5억,58.9,41.1,70.4,0.2,29.4,0.0,0.0,0.0,0,0,123,0,351,355,474
H009,동국대학교기술지주주식회사,2010-02,단독,서울,8.0,4.8,2.5,40.5억,83.2,16.8,80.3,0.5,3.7,0.0,15.3,0.2,0,0,0,0,80,275,80
H010,부산대학교기술지주 주식회사,2010-02,단독,부산,,6.8,3.1,46.5억,84.7,15.3,100.0,0.0,0.0,0.0,0.0,0.0,0,0,158,228,227,718,613
