자회사ID,모회사ID,설립유형,대표이사유형,기업인증현황,분야별현황,업종별현황,운영현황,설립연월,업력,매출액,당기순이익
S0001,H082,단독설립,교수창업,벤처기업,BT,제조업,투자회수(일부),2019-06-01,5,0.0,0.0
S0002,H015,단독설립,교수창업,벤처기업,ET,제조업,정상운영,2017-02-01,7,591.0,0.0
S0003,H004,단독설립,학생창업,연구소기업,IT,전문과학및기술서비스업,정상운영,2018-08-01,6,957.0,-7.0
S0004,H036,단독설립,교수창업,벤처기업,IT,전문과학및기술서비스업,정상운영,2019-09-01,5,2070.0,-82.0
S0005,H032,단독설립,학생창업,벤처기업,IT,정보통신업,정상운영,2017-11-01,7,0.0,-55.0
S0006,H029,합작설립,학생창업,해당없음,IT,제조업,정상운영,2018-07-01,6,697.0,137.0
S0007,H018,단독설립,기타,벤처기업,BT,제조업,정상운영,2016-12-01,8,1124.0,-65.0
S0008,H014,지분편입(지분매수),무응답,벤처기업,BT,정보통신업,정상운영,2017-04-01,7,1504.0,51.0
S0009,H070,단독설립,전문경영인(창업자),신기술창업전문회사,BT,정보통신업,정상운영,2015-08-01,9,0.0,0.0
S0010,H012,단독설립,교수창업,벤처기업,IT,정보통신업,정상운영,2021-11-01,3,61.0,-100.0
S0011,H076,합작설립,교수창업,벤처기업,해당없음,교육서비스업,정상운영,2021-07-01,3,0.0,-79.0
S0012,H055,지분편입(지분매수),전문경영인(창업자),해당없음,IT,교육서비스업,정상운영,2015-08-01,9,208.0,60.0
S0013,H005,단독설립,교수창업,벤처기업,IT,기타,정상운영,2023-12-01,1,0.0,-120.0
S0014,H004,합작설립,무응답,연구소기업,BT,제조업,정상운영,2011-04-01,13,0.0,-101.0
S0015,H012,지분편입(지분매수),기타,벤처기업,BT,전문과학및기술서비스업,정상운영,2019-02-01,5,0.0,-9.0
S0016,H028,합작설립,기타,연구소기업,IT,정보통신업,정상운영,2018-07-01,6,0.0,-135.0
S0017,H030,지분편입(지분매수),전문경영인(파트너기업겸직파견등),벤처기업,BT,정보통신업,정상운영,2021-03-01,3,1471.0,-91.0
S0018,H065,지분편입(지분매수),전문경영인(창업자),벤처기업,IT,교육서비스업,정상운영,2019-06-01,5,0.0,-147.0
S0019,H078,지분편입(지분매수),교수창업,연구소기업,BT,제조업,정상운영,2022-03-01,2,0.0,-23.0
S0020,H004,합작설립,학생창업,연구소기업,BT,전문과학및기술서비스업,정상운영,2022-07-01,2,0.0,-25.0
S0021,H072,단독설립,전문경영인(파트너기업겸직파견등),해당없음,IT,정보통신업,정상운영,2022-06-01,2,0.0,-136.0
S0022,H026,단독설립,전문경영인(창업자),연구소기업,IT,전문과학및기술서비스업,정상운영,2019-05-01,5,0.0,-131.0
S0023,H084,합작설립,교수창업,해당없음,IT,제조업,정상운영,2021-11-01,3,0.0,-55.0
S0024,H070,지분편입(지분매수),학생창업,기타,IT,정보통신업,정상운영,2019-12-01,5,0.0,-24.0
S0025,H054,단독설립,교수창업,해당없음,해당없음,정보통신업,정상운영,2021-07-01,3,296.0,-26.0
S0026,H029,지분편입(지분매수),교수창업,해당없음,ET,정보통신업,정상운영,2023-10-01,1,0.0,-105.0
S0027,H058,단독설립,학생창업,해당없음,IT,정보통신업,정상운영,2017-07-01,7,0.0,-80.0
S0028,H076,단독설립,교수창업,벤처기업,해당없음,제조업,정상운영,2021-09-01,3,0.0,-2.0
S0029,H036,단독설립,전문경영인(창업자),해당없음,BT,교육서비스업,투자회수(전액),2023-02-01,1,0.0,0.0
S0030,H001,지분편입(지분매수),기타,해당없음,BT,정보통신업,정상운영,2018-06-01,6,0.0,-14.0
S0031,H021,합작설립,전문경영인(창업자),연구소기업,IT,정보통신업,정상운영,2016-08-01,8,333.0,127.0
S0032,H055,단독설립,교수창업,벤처기업,BT,정보통신업,정상운영,2016-11-01,8,0.0,-133.0
S0033,H044,단독설립,교수창업,해당없음,IT,정보통신업,정상운영,2018-12-01,6,2286.0,-57.0
S0034,H036,단독설립,전문경영인(창업자),벤처기업,ET,도매및소매업,정상운영,2022-10-01,2,0.0,0.0
S0035,H020,합작설립,기타,해당없음,해당없음,제조업,정상운영,2021-01-01,3,0.0,-91.0
S0036,H028,합작설립,교수창업,연구소기업,해당없음,제조업,폐업(청산),2019-04-01,5,0.0,0.0
S0037,H044,지분편입(지분매수),전문경영인(창업자),벤처기업,BT,전문과학및기술서비스업,정상운영,2009-10-01,15,608.0,0.0
S0038,H014,합작설립,교수창업,해당없음,BT,정보통신업,정상운영,2017-03-01,7,858.0,-104.0
S0039,H012,지분편입(지분매수),학생창업,연구소기업,IT,정보통신업,정상운영,2023-04-01,1,0.0,-118.0
S0040,H049,지분편입(지분매수),무응답,해당없음,BT,제조업,정상운영,2020-06-01,4,1385.0,-110.0
S0041,H013,단독설립,교수창업,해당없음,IT,전문과학및기술서비스업,정상운영,2023-06-01,1,1447.0,51.0
S0042,H046,단독설립,학생창업,벤처기업,IT,정보통신업,정상운영,2022-06-01,2,1858.0,-122.0
S0043,H045,지분편입(지분매수),교수창업,해당없음,BT,제조업,정상운영,2020-09-01,4,0.0,-78.0
S0044,H078,단독설립,기타,벤처기업,ET,제조업,정상운영,2008-01-01,16,0.0,-3.0
S0045,H034,지분편입(지분매수),학생창업,해당없음,해당없음,정보통신업,정상운영,2019-10-01,5,0.0,-53.0
S0046,H006,지분편입(지분매수),기타,해당없음,BT,제조업,정상운영,2019-10-01,5,0.0,-146.0
S0047,H059,단독설립,학생창업,벤처기업,BT,정보통신업,정상운영,2019-07-01,5,0.0,-5.0
S0048,H069,단독설립,교수창업,연구소기업,BT,정보통신업,정상운영,2017-02-01,7,1777.0,-108.0
S0049,H016,단독설립,전문경영인(파트너기업겸직파견등),해당없음,BT,제조업,정상운영,2019-11-01,5,0.0,-138.0
S0050,H049,지분편입(지분매수),교수창업,벤처기업,NT,제조업,정상운영,2022-04-01,2,2181.0,73.0
S0051,H011,단독설립,기타,해당없음,ET,전문과학및기술서비스업,정상운영,2009-03-01,15,0.0,0.0
S0052,H071,단독설립,무응답,연구소기업,IT,전문과학및기술서비스업,정상운영,2018-08-01,6,0.0,-67.0
S0053,H038,지분편입(지분매수),전문경영인(창업자),해당없음,IT,정보통신업,정상운영,2018-04-01,6,1317.0,-57.0
S0054,H081,지분편입(지분매수),학생창업,해당없음,IT,전문과학및기술서비스업,정상운영,2018-01-01,6,1911.0,-85.0
S0055,H080,단독설립,교수창업,연구소기업,IT,전문과학및기술서비스업,투자회수(전액),2021-04-01,3,0.0,0.0
S0056,H047,단독설립,교수창업,연구소기업,IT,전문과학및기술서비스업,정상운영,2018-05-01,6,0.0,-13.0
S0057,H074,단독설립,전문경영인(파트너기업겸직파견등),연구소기업,IT,제조업,정상운영,2020-07-01,4,0.0,2.0
S0058,H025,단독설립,전문경영인(파트너기업겸직파견등),해당없음,해당없음,전문과학및기술서비스업,정상운영,2020-02-01,4,0.0,-92.0
S0059,H009,단독설립,교수창업,해당없음,IT,제조업,정상운영,2022-06-01,2,2068.0,-33.0
S0060,H006,지분편입(지분매수),학생창업,해당없음,IT,제조업,정상운영,2021-07-01,3,1054.0,-62.0
S0061,H030,지분편입(유상증자),교수창업,연구소기업,BT,정보통신업,정상운영,2019-11-01,5,1408.0,103.0
S0062,H038,단독설립,전문경영인(파트너기업겸직파견등),벤처기업,IT,전문과학및기술서비스업,정상운영,2018-03-01,6,0.0,-72.0
S0063,H011,단독설립,기타,연구소기업,CT,제조업,정상운영,2023-07-01,1,1126.0,72.0
S0064,H030,합작설립,전문경영인(창업자),해당없음,IT,제조업,정상운영,2017-03-01,7,981.0,-27.0
S0065,H013,단독설립,전문경영인(창업자),벤처기업,BT,전문과학및기술서비스업,정상운영,2021-05-01,3,0.0,-41.0
S0066,H049,단독설립,기타,벤처기업,NT,정보통신업,정상운영,2023-05-01,1,0.0,-11.0
S0067,H036,합작설립,전문경영인(창업자),벤처기업,BT,교육서비스업,정상운영,2019-07-01,5,3599.0,0.0
S0068,H059,지분편입(지분매수),교수창업,연구소기업,NT,정보통신업,정상운영,2017-11-01,7,584.0,-31.0
S0069,H082,단독설립,전문경영인(창업자),해당없음,BT,전문과학및기술서비스업,정상운영,2023-08-01,1,0.0,-33.0
S0070,H047,지분편입(유상증자),전문경영인(창업자),연구소기업,BT,정보통신업,정상운영,2017-01-01,7,0.0,-7.0
S0071,H021,단독설립,전문경영인(창업자),연구소기업,IT,정보통신업,폐업(청산),2020-05-01,4,0.0,0.0
S0072,H048,지분편입(지분매수),전문경영인(창업자),연구소기업,IT,제조업,투자회수(전액),2018-07-01,6,0.0,0.0
S0073,H046,지분편입(유상증자),전문경영인(창업자),해당없음,IT,제조업,정상운영,2019-03-01,5,1758.0,-120.0
S0074,H027,단독설립,전문경영인(창업자),벤처기업,IT,정보통신업,정상운영,2018-03-01,6,0.0,59.0
S0075,H035,합작설립,기타,연구소기업,BT,전문과학및기술서비스업,정상운영,2018-07-01,6,0.0,-147.0
S0076,H083,지분편입(지분매수),전문경영인(창업자),해당없음,BT,제조업,투자회수(전액),2019-11-01,5,0.0,0.0
S0077,H010,합작설립,전문경영인(창업자),해당없음,ET,정보통신업,정상운영,2016-09-01,8,323.0,-140.0
S0078,H078,단독설립,교수창업,연구소기업,IT,제조업,정상운영,2023-02-01,1,1723.0,-104.0
S0079,H082,단독설립,교수창업,연구소기업,ET,정보통신업,투자회수(전액),2018-08-01,6,0.0,0.0
S0080,H022,단독설립,교수창업,벤처기업,BT,제조업,정상운영,2021-02-01,3,1079.0,0.0
S0081,H069,합작설립,교수창업,연구소기업,해당없음,전문과학및기술서비스업,정상운영,2016-06-01,8,0.0,-103.0
S0082,H032,지분편입(지분매수),전문경영인(창업자),해당없음,해당없음,도매및소매업,정상운영,2021-11-01,3,0.0,-10.0
S0083,H021,단독설립,학생창업,연구소기업,BT,정보통신업,정상운영,2017-12-01,7,2273.0,-50.0
S0084,H060,합작설립,학생창업,해당없음,IT,제조업,정상운영,2022-02-01,2,1485.0,-29.0
S0085,H049,지분편입(지분매수),교수창업,연구소기업,IT,전문과학및기술서비스업,정상운영,2010-11-01,14,0.0,0.0
S0086,H035,단독설립,교수창업,해당없음,BT,전문과학및기술서비스업,정상운영,2018-07-01,6,0.0,-49.0
S0087,H082,합작설립,교수창업,해당없음,BT,전문과학및기술서비스업,정상운영,2023-01-01,1,0.0,-111.0
S0088,H072,합작설립,전문경영인(파트너기업겸직파견등),벤처기업,BT,정보통신업,정상운영,2015-03-01,9,0.0,-138.0
S0089,H029,단독설립,교수창업,벤처기업,BT,전문과학및기술서비스업,정상운영,2022-06-01,2,0.0,-11.0
S0090,H042,단독설립,전문경영인(창업자),해당없음,IT,도매및소매업,정상운영,2022-03-01,2,1010.0,-65.0
S0091,H008,합작설립,전문경영인(창업자),연구소기업,IT,제조업,정상운영,2010-10-01,14,0.0,-79.0
S0092,H030,지분편입(지분매수),기타,해당없음,NT,제조업,정상운영,2020-09-01,4,0.0,-25.0
S0093,H005,단독설립,교수창업,연구소기업,BT,정보통신업,정상운영,2017-07-01,7,0.0,-107.0
S0094,H041,지분편입(지분매수),교수창업,연구소기업,BT,정보통신업,정상운영,2020-11-01,4,0.0,-143.0
S0095,H052,지분편입(지분매수),교수창업,연구소기업,IT,정보통신업,정상운영,2021-08-01,3,890.0,132.0
S0096,H035,단독설립,전문경영인(창업자),벤처기업,BT,전문과학및기술서비스업,정상운영,2010-01-01,14,0.0,-131.0
S0097,H009,단독설립,학생창업,해당없음,IT,정보통신업,정상운영,2020-08-01,4,0.0,0.0
S0098,H028,지분편입(지분매수),전문경영인(파트너기업겸직파견등),해당없음,해당없음,제조업,정상운영,2022-11-01,2,0.0,-67.0
S0099,H073,단독설립,교수창업,해당없음,BT,기타,정상운영,2019-11-01,5,699.0,116.0
S0100,H041,합작설립,전문경영인(창업자),벤처기업,BT,제조업,정상운영,2019-07-01,5,0.0,-57.0
S0101,H028,단독설립,교수창업,해당없음,BT,정보통신업,정상운영,2019-07-01,5,0.0,-101.0
S0102,H084,단독설립,전문경영인(파트너기업겸직파견등),연구소기업,IT,정보통신업,정상운영,2019-01-01,5,1708.0,118.0
S0103,H064,단독설립,교수창업,해당없음,해당없음,교육서비스업,정상운영,2017-05-01,7,1671.0,-128.0
S0104,H051,단독설립,기타,연구소기업,BT,제조업,정상운영,2017-07-01,7,1958.0,-36.0
S0105,H083,단독설립,교수창업,해당없음,해당없음,제조업,정상운영,2019-05-01,5,0.0,-112.0
S0106,H059,단독설립,교수창업,해당없음,IT,정보통신업,정상운영,2019-12-01,5,0.0,0.0
S0107,H019,합작설립,전문경영인(창업자),해당없음,ET,제조업,폐업(청산),2012-11-01,12,0.0,0.0
S0108,H034,단독설립,기타,해당없음,IT,정보통신업,정상운영,2008-02-01,16,0.0,-143.0
S0109,H018,지분편입(지분매수),전문경영인(파트너기업겸직파견등),연구소기업,BT,제조업,정상운영,2020-10-01,4,796.0,-94.0
S0110,H032,단독설립,교수창업,해당없음,IT,정보통신업,정상운영,2019-08-01,5,0.0,0.0
S0111,H072,단독설립,전문경영인(창업자),해당없음,IT,정보통신업,정상운영,2023-09-01,1,1591.0,62.0
S0112,H069,지분편입(지분매수),교수창업,해당없음,BT,정보통신업,정상운영,2018-06-01,6,0.0,-8.0
S0113,H034,지분편입(유상증자),전문경영인(창업자),연구소기업,BT,제조업,정상운영,2022-08-01,2,448.0,1.0
S0114,H075,단독설립,교수창업,벤처기업,BT,제조업,정상운영,2020-12-01,4,0.0,-143.0
S0115,H055,지분편입(지분매수),학생창업,벤처기업,ET,정보통신업,정상운영,2018-06-01,6,1810.0,0.0
S0116,H075,지분편입(지분매수),교수창업,신기술창업전문회사,BT,제조업,정상운영,2009-09-01,15,0.0,-52.0
S0117,H052,단독설립,학생창업,연구소기업,IT,전문과학및기술서비스업,정상운영,2016-06-01,8,0.0,-60.0
S0118,H047,단독설립,전문경영인(창업자),연구소기업,CT,전문과학및기술서비스업,정상운영,2020-02-01,4,0.0,-52.0
S0119,H029,단독설립,교수창업,이노비즈기업,IT,전문과학및기술서비스업,정상운영,2017-03-01,7,2109.0,-147.0
S0120,H018,지분편입(지분매수),전문경영인(파트너기업겸직파견등),연구소기업,IT,제조업,정상운영,2010-07-01,14,0.0,-131.0
S0121,H066,단독설립,교수창업,벤처기업,ET,전문과학및기술서비스업,정상운영,2019-09-01,5,194.0,17.0
