자회사ID,모회사ID,설립유형,대표이사유형,기업인증현황,분야별현황,업종별현황,운영현황,설립연월,업력,매출액,당기순이익
S0001,H082,단독설립,교수창업,벤처기업,BT,제조업,투자회수(일부),2019-06,5,0백만원,0.0
S0002,H015,단독설립,교수창업,벤처기업,ET,제조업,정상운영,2017-02,7,591백만원,
S0003,H004,단독설립,학생창업,연구소기업, iT ,전문과학및기술서비스업,정상운영,2018-08,6,957백만원,-7.0
S0004,H036,단독설립,교수창업,벤처기업, iT ,전문과학및기술서비스업,정상운영,2019-09,5,"2,070백만원",-82.0
S0005,H032,단독설립,학생창업,벤처기업, iT ,정보통신업,정상운영,2017-11,7,0백만원,-55.0
S0006,H029,합작설립,학생창업,해당없음,IT,제조업,정상운영,2018-07,6,697백만원,137.0
S0007,H018,단독설립,기타,벤처기업,BT,제조업,정상운영,2016-12,8,"1,124백만원",-65.0
S0008,H014,지분편입(지분매수),무응답,벤처기업,BT,정보통신업,정상운영,2017-04,7,"1,504백만원",51.0
S0009,H070,단독설립,전문경영인(창업자),신기술창업전문회사,BT,정보통신업,정상운영,2015-08,9,0백만원,
S0010,H012,단독설립,교수창업,벤처기업,IT,정보통신업,정상운영,2021-11,3,61백만원,-100.0
S0011,H076,합작설립,교수창업,벤처기업,해당없음,교육서비스업,정상운영,2021-07,3,0백만원,-79.0
S0012,H055,지분편입(지분매수),전문경영인(창업자),해당없음,IT,교육서비스업,정상운영,2015-08,9,208백만원,60.0
S0013,H005,단독설립,교수창업,벤처기업,IT,기타,정상운영,2023-12,1,0백만원,-120.0
S0014,H004,합작설립,무응답,연구소기업,BT,제조업,정상운영,2011-04,13,0백만원,-101.0
S0015,H012,지분편입(지분매수),기타,벤처기업,BT,전문과학및기술서비스업,정상운영,2019-02,5,0백만원,-9.0
S0016,H028,합작설립,기타,연구소기업,IT,정보통신업,정상운영,2018-07,6,0백만원,-135.0
S0017,H030,지분편입(지분매수),전문경영인(파트너기업겸직파견등),벤처기업,BT,정보통신업,정상운영,2021-03,3,"1,471백만원",-91.0
S0018,H065,지분편입(지분매수),전문경영인(창업자),벤처기업,IT,교육서비스업,정상운영,2019-06,5,0백만원,-147.0
S0019,H078,지분편입(지분매수),교수창업,연구소기업,BT,제조업,정상운영,2022-03,2,0백만원,-23.0
S0020,H004,합작설립,학생창업,연구소기업,BT,전문과학및기술서비스업,정상운영,2022-07,2,0백만원,-25.0
S0021,H072,단독설립,전문경영인(파트너기업겸직파견등),해당없음,IT,정보통신업,정상운영,2022-06,2,0백만원,-136.0
S0022,H026,단독설립,전문경영인(창업자),연구소기업,IT,전문과학및기술서비스업,정상운영,2019-05,5,0백만원,-131.0
S0023,H084,합작설립,교수창업,해당없음,IT, 제 조 업 ,정상운영,2021-11,3,0백만원,-55.0
S0024,H070,지분편입(지분매수),학생창업,기타,IT,정보통신업,정상운영,2019-12,5,0백만원,-24.0
S0025,H054,단독설립,교수창업,해당없음,해당없음,정보통신업,정상운영,2021-07,3,296백만원,-26.0
S0026,H029,지분편입(지분매수),교수창업,해당없음,ET,정보통신업,정상운영,2023-10,1,0백만원,-105.0
S0027,H058,단독설립,학생창업,해당없음,IT,정보통신업,정상운영,2017-07,7,0백만원,-80.0
S0028,H076,단독설립,교수창업,벤처기업,해당없음,제조업,정상운영,2021-09,3,0백만원,-2.0
S0029,H036,단독설립,전문경영인(창업자),해당없음,BT,교육서비스업,투자회수(전액),2023-02,1,0백만원,0.0
S0030,H001,지분편입(지분매수),기타,해당없음,BT,정보통신업,정상운영,2018-06,6,,-14.0
S0031,H021,합작설립,전문경영인(창업자),연구소기업,IT,정보통신업,정상운영,2016-08,8,333백만원,127.0
S0032,H055,단독설립,교수창업,벤처기업,BT,정보통신업,정상운영,2016-11,8,0백만원,-133.0
S0033,H044,단독설립,교수창업,해당없음,IT,정보통신업,정상운영,2018-12,6,"2,286백만원",-57.0
S0034,H036,단독설립,전문경영인(창업자),벤처기업,ET,도매및소매업,정상운영,2022-10,2,0백만원,
S0035,H020,합작설립,기타,해당없음,해당없음,제조업,정상운영,2021-01,3,0백만원,-91.0
S0036,H028,합작설립,교수창업,연구소기업,해당없음,제조업,폐업(청산),2019-04,5,,
S0037,H044,지분편입(지분매수),전문경영인(창업자),벤처기업,BT,전문과학및기술서비스업,정상운영,2009-10,15,608백만원,
S0038,H014,합작설립,교수창업,해당없음,BT,정보통신업,정상운영,2017-03,7,858백만원,-104.0
S0039,H012,지분편입(지분매수),학생창업,연구소기업,IT,정보통신업,정상운영,2023-04,1,0백만원,-118.0
S0040,H049,지분편입(지분매수),무응답,해당없음,BT,제조업,정상운영,2020-06,4,"1,385백만원",-110.0
S0041,H013,단독설립,교수창업,해당없음,IT,전문과학및기술서비스업,정상운영,2023-06,1,"1,447백만원",51.0
S0042,H046,단독설립,학생창업,벤처기업,IT,정보통신업,정상운영,2022-06,2,"1,858백만원",-122.0
S0043,H045,지분편입(지분매수),교수창업,해당없음,BT,제조업,정상운영,2020-09,4,0백만원,-78.0
S0044,H078,단독설립,기타,벤처기업,ET,제조업,정상운영,2008-01,16,0백만원,-3.0
S0045,H034,지분편입(지분매수),학생창업,해당없음,해당없음,정보통신업,정상운영,2019-10,5,,-53.0
S0046,H006,지분편입(지분매수),기타,해당없음,BT,제조업,정상운영,2019-10,5,0백만원,-146.0
S0047,H059,단독설립,학생창업,벤처기업,BT,정보통신업,정상운영,2019-07,5,0백만원,-5.0
S0048,H069,단독설립,교수창업,연구소기업,BT,정보통신업,정상운영,2017-02,7,"1,777백만원",-108.0
S0049,H016,단독설립,전문경영인(파트너기업겸직파견등),해당없음,BT,제조업,정상운영,2019-11,5,,-138.0
S0050,H049,지분편입(지분매수),교수창업,벤처기업,NT, 제 조 업 ,정상운영,2022-04,2,"2,181백만원",73.0
S0051,H011,단독설립,기타,해당없음,ET,전문과학및기술서비스업,정상운영,2009-03,15,0백만원,
S0052,H071,단독설립,무응답,연구소기업,IT,전문과학및기술서비스업,정상운영,2018-08,6,,-67.0
S0053,H038,지분편입(지분매수),전문경영인(창업자),해당없음,IT,정보통신업,정상운영,2018-04,6,"1,317백만원",-57.0
S0054,H081,지분편입(지분매수),학생창업,해당없음,IT,전문과학및기술서비스업,정상운영,2018-01,6,"1,911백만원",-85.0
S0055,H080,단독설립,교수창업,연구소기업, iT ,전문과학및기술서비스업,투자회수(전액),2021-04,3,0백만원,0.0
S0056,H047,단독설립,교수창업,연구소기업,IT,전문과학및기술서비스업,정상운영,2018-05,6,0백만원,-13.0
S0057,H074,단독설립,전문경영인(파트너기업겸직파견등),연구소기업,IT,제조업,정상운영,2020-07,4,,2.0
S0058,H025,단독설립,전문경영인(파트너기업겸직파견등),해당없음,해당없음,전문과학및기술서비스업,정상운영,2020-02,4,0백만원,-92.0
S0059,H009,단독설립,교수창업,해당없음,IT,제조업,정상운영,2022-06,2,"2,068백만원",-33.0
S0060,H006,지분편입(지분매수),학생창업,해당없음,IT, 제 조 업 ,정상운영,2021-07,3,"1,054백만원",-62.0
S0061,H030,지분편입(유상증자),교수창업,연구소기업,BT,정보통신업,정상운영,2019-11,5,"1,408백만원",103.0
S0062,H038,단독설립,전문경영인(파트너기업겸직파견등),벤처기업,IT,전문과학및기술서비스업,정상운영,2018-03,6,0백만원,-72.0
S0063,H011,단독설립,기타,연구소기업,CT,제조업,정상운영,2023-07,1,"1,126백만원",72.0
S0064,H030,합작설립,전문경영인(창업자),해당없음,IT,제조업,정상운영,2017-03,7,981백만원,-27.0
S0065,H013,단독설립,전문경영인(창업자),벤처기업,BT,전문과학및기술서비스업,정상운영,2021-05,3,0백만원,-41.0
S0066,H049,단독설립,기타,벤처기업,NT,정보통신업,정상운영,2023-05,1,0백만원,-11.0
S0067,H036,합작설립,전문경영인(창업자),벤처기업,BT,교육서비스업,정상운영,2019-07,5,"99,999,999,999원",
S0068,H059,지분편입(지분매수),교수창업,연구소기업,NT,정보통신업,정상운영,2017-11,7,584백만원,-31.0
S0069,H082,단독설립,전문경영인(창업자),해당없음,BT,전문과학및기술서비스업,정상운영,2023-08,1,0백만원,-33.0
S0070,H047,지분편입(유상증자),전문경영인(창업자),연구소기업,BT,정보통신업,정상운영,2017-01,7,,-7.0
S0071,H021,단독설립,전문경영인(창업자),연구소기업,IT,정보통신업,폐업(청산),2020-05,4,,
S0072,H048,지분편입(지분매수),전문경영인(창업자),연구소기업,IT,제조업,투자회수(전액),2018-07,6,0백만원,
S0073,H046,지분편입(유상증자),전문경영인(창업자),해당없음,IT,제조업,정상운영,2019-03,5,"1,758백만원",-120.0
S0074,H027,단독설립,전문경영인(창업자),벤처기업,IT,정보통신업,정상운영,2018-03,6,,59.0
S0075,H035,합작설립,기타,연구소기업,BT,전문과학및기술서비스업,정상운영,2018-07,6,0백만원,-147.0
S0076,H083,지분편입(지분매수),전문경영인(창업자),해당없음,BT,제조업,투자회수(전액),2019-11,5,0백만원,0.0
S0077,H010,합작설립,전문경영인(창업자),해당없음,ET,정보통신업,정상운영,2016-09,8,323백만원,-140.0
S0078,H078,단독설립,교수창업,연구소기업,IT,제조업,정상운영,2023-02,1,"1,723백만원",-104.0
S0079,H082,단독설립,교수창업,연구소기업,ET,정보통신업,투자회수(전액),2018-08,6,0백만원,0.0
S0080,H022,단독설립,교수창업,벤처기업,BT,제조업,정상운영,2021-02,3,"1,079백만원",
S0081,H069,합작설립,교수창업,연구소기업,해당없음,전문과학및기술서비스업,정상운영,2016-06,8,0백만원,-103.0
S0082,H032,지분편입(지분매수),전문경영인(창업자),해당없음,해당없음,도매및소매업,정상운영,2021-11,3,0백만원,-10.0
S0083,H021,단독설립,학생창업,연구소기업,BT,정보통신업,정상운영,2017-12,7,"2,273백만원",-50.0
S0084,H060,합작설립,학생창업,해당없음,IT,제조업,정상운영,2022-02,2,"1,485백만원",-29.0
S0085,H049,지분편입(지분매수),교수창업,연구소기업,IT,전문과학및기술서비스업,정상운영,2010-11,14,,
S0086,H035,단독설립,교수창업,해당없음,BT,전문과학및기술서비스업,정상운영,2018-07,6,0백만원,-49.0
S0087,H082,합작설립,교수창업,해당없음,BT,전문과학및기술서비스업,정상운영,2023-01,1,0백만원,-111.0
S0088,H072,합작설립,전문경영인(파트너기업겸직파견등),벤처기업,BT,정보통신업,정상운영,2015-03,9,0백만원,-138.0
S0089,H029,단독설립,교수창업,벤처기업,BT,전문과학및기술서비스업,정상운영,2022-06,2,0백만원,-11.0
S0090,H042,단독설립,전문경영인(창업자),해당없음,IT,도매및소매업,정상운영,2022-03,2,"1,010백만원",-65.0
S0091,H008,합작설립,전문경영인(창업자),연구소기업,IT,제조업,정상운영,2010-10,14,0백만원,-79.0
