지주회사ID,기술지주회사명,설립인가연월,설립유형,소재지,전담인력_수,전담인력_평균업력,전담인력_평균근속연수,자본금_총자본금,자본금_현금자본비율,자본금_현물자본비율,자본금출자구성비율_산학협력단,자본금출자구성비율_학교법인,자본금출자구성비율_공공기관,자본금출자구성비율_투융자기관,자본금출자구성비율_민간기관,자본금출자구성비율_개인엔젤,수익현황_자회사배당수익,수익현황_자회사지분매각,수익현황_기술이전,수익현황_투자조합배당수익등,수익현황_용역및기타수수료,수익현황_정부사업,수익현황_총수익
H001,한양대학교 기술지주회사(주),2008-07,단독,서울,6,6.7,2.4,27.7,90.6,9.4,69.7,0.0,23.1,0.0,7.2,0.0,64,0,0,0,459,0,523
H002,서울대학교 기술지주 주식회사,2008-10,단독,서울,6,5.4,2.8,60.3,64.7,35.3,79.6,3.5,0.0,0.0,16.7,0.2,0,0,0,0,444,854,444
H003,삼육대학교기술지주주식회사,2008-10,단독,서울,5,7.0,5.0,48.0,81.7,18.3,93.8,5.6,0.4,0.2,0.0,0.0,0,0,0,80,202,0,282
H004,서강대학교기술지주 주식회사,2009-01,단독,서울,1,8.7,4.1,40.4,87.4,12.6,84.7,0.2,15.1,0.0,0.0,0.0,0,0,78,0,114,697,192
H005,경희대학교기술지주 주식회사,2009-04,단독,서울,6,5.2,2.8,15.2,63.2,36.8,55.9,0.0,44.1,0.0,0.0,0.0,13,0,0,0,339,0,352
H006,(주)강원지역대학연합기술지주회사,2009-04,공동,강원,1,5.2,4.4,15.2,47.4,52.6,63.2,0.0,36.8,0.0,0.0,0.0,0,0,63,0,93,0,156
H007,고려대학교 기술지주(주),2009-08,공동,서울,5,8.9,3.7,9.6,57.3,42.7,95.8,0.0,0.0,0.0,0.0,4.2,0,0,0,172,135,279,307
H008,인천대학교 기술지주(주),2009-11,단독,인천,1,7.2,5.1,55.5,58.9,41.1,70.4,0.2,29.4,0.0,0.0,0.0,0,0,123,0,351,355,474
H009,동국대학교기술지주주식회사,2010-02,단독,서울,8,4.8,2.5,40.5,83.2,16.8,80.3,0.5,3.7,0.0,15.3,0.2,0,0,0,0,80,275,80
H010,부산대학교기술지주 주식회사,2010-02,단독,부산,3,6.8,3.1,46.5,84.7,15.3,100.0,0.0,0.0,0.0,0.0,0.0,0,0,158,228,227,718,613
H011,주식회사 단국대학교기술지주회사,2010-09,단독,경기,4,4.8,3.0,7.4,50.0,50.0,75.6,0.0,23.0,0.0,1.4,0.0,86,0,0,62,430,0,578
H012,동신대학교 기술지주회사(주),2010-09,단독,전남,9,4.8,1.4,61.4,64.0,36.0,88.0,0.0,5.4,0.0,6.4,0.2,0,0,0,0,0,476,0
H013,조선대학교기술지주 주식회사,2010-10,단독,광주,6,6.2,4.0,53.7,58.7,41.3,99.4,0.0,0.6,0.0,0.0,0.0,17,0,211,0,0,296,228
H014,전남대학교기술지주회사 주식회사,2011-04,단독,광주,7,1.9,1.9,18.4,52.2,47.8,85.3,0.0,14.7,0.0,0.0,0.0,0,0,222,0,353,0,575
H015,연세대학교기술지주 주식회사,2011-04,공동,서울,3,2.3,2.3,16.8,46.4,53.6,52.4,44.6,3.0,0.0,0.0,0.0,0,0,127,0,450,157,577
H016,주식회사 전북지역대학연합기술지주회사,2011-04,공동,전북,11,4.6,3.2,16.7,59.3,40.7,98.2,0.0,0.0,0.0,0.6,1.2,0,1093,0,0,144,1004,1237
H017,가톨릭대학교 기술지주 주식회사,2012-04,단독,서울,2,3.7,1.5,23.6,99.2,0.8,97.5,0.0,0.0,0.0,2.5,0.0,0,0,101,0,192,0,293
H018,세종대학교기술지주 주식회사,2012-04,단독,서울,2,6.3,3.0,36.1,53.7,46.3,100.0,0.0,0.0,0.0,0.0,0.0,0,634,92,27,354,642,1107
H019,동아대학교기술지주 주식회사,2012-04,단독,부산,6,3.9,3.1,30.8,66.6,33.4,97.8,0.0,0.0,0.0,1.9,0.3,31,0,0,0,142,812,173
H020,성균관대학교기술지주 주식회사,2012-04,단독,서울,8,2.9,2.4,22.8,78.1,21.9,97.8,0.0,0.0,0.4,1.8,0.0,0,0,0,98,423,955,521
