자회사ID,모회사ID,설립유형,대표이사유형,기업인증현황,분야별현황,업종별현황,운영현황,설립연월,업력,매출액,당기순이익
S0001,H082,단독설립,교수창업,벤처기업,BT,제조업,투자회수(일부),2019-06,5,0,0
S0002,H015,단독설립,교수창업,벤처기업,ET,제조업,정상운영,2017-02,7,591,-147
S0003,H004,단독설립,학생창업,연구소기업,BT,전문과학및기술서비스업,정상운영,2018-08,6,957,-7
S0004,H036,단독설립,교수창업,벤처기업,해당없음,전문과학및기술서비스업,정상운영,2019-09,5,2070,-82
S0005,H032,단독설립,학생창업,벤처기업,BT,정보통신업,정상운영,2017-11,7,0,-55
S0006,H029,합작설립,학생창업,해당없음,IT,제조업,정상운영,2018-07,6,697,137
S0007,H018,단독설립,기타,벤처기업,BT,제조업,정상운영,2016-12,8,1124,-65
S0008,H014,지분편입(지분매수),무응답,벤처기업,BT,정보통신업,정상운영,2017-04,7,1504,51
S0009,H070,단독설립,전문경영인(창업자),신기술창업전문회사,BT,정보통신업,정상운영,2015-08,9,0,-3
S0010,H012,단독설립,교수창업,벤처기업,IT,정보통신업,정상운영,2021-11,3,61,-100
S0011,H076,합작설립,교수창업,벤처기업,해당없음,교육서비스업,정상운영,2021-07,3,0,-79
S0012,H055,지분편입(지분매수),전문경영인(창업자),해당없음,IT,교육서비스업,정상운영,2015-08,9,208,60
S0013,H005,단독설립,교수창업,벤처기업,IT,기타,정상운영,2023-12,1,0,-120
S0014,H004,합작설립,무응답,연구소기업,BT,제조업,정상운영,2011-04,13,0,-101
S0015,H012,지분편입(지분매수),기타,벤처기업,BT,전문과학및기술서비스업,정상운영,2019-02,5,0,-9
S0016,H028,합작설립,기타,연구소기업,IT,정보통신업,정상운영,2018-07,6,0,-135
S0017,H030,지분편입(지분매수),전문경영인(파트너기업겸직파견등),벤처기업,BT,정보통신업,정상운영,2021-03,3,1471,-91
S0018,H065,지분편입(지분매수),전문경영인(창업자),벤처기업,IT,교육서비스업,정상운영,2019-06,5,0,-147
S0019,H078,지분편입(지분매수),교수창업,연구소기업,BT,제조업,정상운영,2022-03,2,0,-23
S0020,H004,합작설립,학생창업,연구소기업,BT,전문과학및기술서비스업,정상운영,2022-07,2,0,-25
S0021,H072,단독설립,전문경영인(파트너기업겸직파견등),해당없음,IT,정보통신업,정상운영,2022-06,2,0,-136
S0022,H026,단독설립,전문경영인(창업자),연구소기업,IT,전문과학및기술서비스업,정상운영,2019-05,5,0,-131
S0023,H084,합작설립,교수창업,해당없음,IT,제조업,정상운영,2021-11,3,0,-55
