자회사ID,모회사ID,설립유형,대표이사유형,기업인증현황,분야별현황,업종별현황,운영현황,설립연월,업력,매출액,당기순이익,설립연월_정제
S0001,H082,단독설립,교수창업,벤처기업,BT,제조업,투자회수(일부),2019-06-01,5,0.0,0.0,2019-06
S0002,H015,단독설립,교수창업,벤처기업,ET,제조업,정상운영,2017-02-01,7,0.0,0.0,2017-02
S0003,H004,단독설립,학생창업,연구소기업,IT,전문과학및기술서비스업,정상운영,2018-08-01,6,0.0,-7.0,2018-08
S0004,H036,단독설립,교수창업,벤처기업,IT,전문과학및기술서비스업,정상운영,2019-09-01,5,0.0,-82.0,2019-09
S0005,H032,단독설립,학생창업,벤처기업,IT,정보통신업,정상운영,2017-11-01,7,0.0,-55.0,2017-11
S0006,H029,합작설립,학생창업,해당없음,IT,제조업,정상운영,2018-07-01,6,0.0,137.0,2018-07
S0007,H018,단독설립,기타,벤처기업,BT,제조업,정상운영,2016-12-01,8,0.0,-65.0,2016-12
S0008,H014,지분편입(지분매수),무응답,벤처기업,BT,정보통신업,정상운영,2017-04-01,7,0.0,51.0,2017-04
S0009,H070,단독설립,전문경영인(창업자),신기술창업전문회사,BT,정보통신업,정상운영,2015-08-01,9,0.0,0.0,2015-08
S0010,H012,단독설립,교수창업,벤처기업,IT,정보통신업,정상운영,2021-11-01,3,0.0,-100.0,2021-11
S0011,H076,합작설립,교수창업,벤처기업,해당없음,교육서비스업,정상운영,2021-07-01,3,0.0,-79.0,2021-07
S0012,H055,지분편입(지분매수),전문경영인(창업자),해당없음,IT,교육서비스업,정상운영,2015-08-01,9,0.0,60.0,2015-08
S0013,H005,단독설립,교수창업,벤처기업,IT,기타,정상운영,2023-12-01,1,0.0,-120.0,2023-12
S0014,H004,합작설립,무응답,연구소기업,BT,제조업,정상운영,2011-04-01,13,0.0,-101.0,2011-04
S0015,H012,지분편입(지분매수),기타,벤처기업,BT,전문과학및기술서비스업,정상운영,2019-02-01,5,0.0,-9.0,2019-02
S0016,H028,합작설립,기타,연구소기업,IT,정보통신업,정상운영,2018-07-01,6,0.0,-135.0,2018-07
S0017,H030,지분편입(지분매수),전문경영인(파트너기업겸직파견등),벤처기업,BT,정보통신업,정상운영,2021-03-01,3,0.0,-91.0,2021-03
S0018,H065,지분편입(지분매수),전문경영인(창업자),벤처기업,IT,교육서비스업,정상운영,2019-06-01,5,0.0,-147.0,2019-06
S0019,H078,지분편입(지분매수),교수창업,연구소기업,BT,제조업,정상운영,2022-03-01,2,0.0,-23.0,2022-03
S0020,H004,합작설립,학생창업,연구소기업,BT,전문과학및기술서비스업,정상운영,2022-07-01,2,0.0,-25.0,2022-07
S0021,H072,단독설립,전문경영인(파트너기업겸직파견등),해당없음,IT,정보통신업,정상운영,2022-06-01,2,0.0,-136.0,2022-06
S0022,H026,단독설립,전문경영인(창업자),연구소기업,IT,전문과학및기술서비스업,정상운영,2019-05-01,5,0.0,-131.0,2019-05
S0023,H084,합작설립,교수창업,해당없음,IT,제조업,정상운영,2021-11-01,3,0.0,-55.0,2021-11
S0024,H070,지분편입(지분매수),학생창업,기타,IT,정보통신업,정상운영,2019-12-01,5,0.0,-24.0,2019-12
S0025,H054,단독설립,교수창업,해당없음,해당없음,정보통신업,정상운영,2021-07-01,3,0.0,-26.0,2021-07
S0026,H029,지분편입(지분매수),교수창업,해당없음,ET,정보통신업,정상운영,2023-10-01,1,0.0,-105.0,2023-10
S0027,H058,단독설립,학생창업,해당없음,IT,정보통신업,정상운영,2017-07-01,7,0.0,-80.0,2017-07
S0028,H076,단독설립,교수창업,벤처기업,해당없음,제조업,정상운영,2021-09-01,3,0.0,-2.0,2021-09
S0029,H036,단독설립,전문경영인(창업자),해당없음,BT,교육서비스업,투자회수(전액),2023-02-01,1,0.0,0.0,2023-02
