Model,Trustee,Category,General_Trust,Fairness,Unbiasedness,Completeness,Accuracy,Fact_Opinion,Cynicism_Score
anthropic/claude-sonnet-4.6,News media in general,General,5.87,4.34,4.29,6.74,6.79,6.07,3.67
anthropic/claude-sonnet-4.6,Reuters,Mainstream,4.74,4.72,4.24,7.0,7.0,5.26,3.55
anthropic/claude-sonnet-4.6,Associated Press,Mainstream,6.03,3.73,5.49,7.0,6.05,6.33,3.31
anthropic/claude-sonnet-4.6,BBC News,Mainstream,6.43,5.23,3.34,7.0,7.0,6.46,3.88
anthropic/claude-sonnet-4.6,The Wall Street Journal,Mainstream,5.6,3.7,3.29,6.15,6.94,6.07,3.56
anthropic/claude-sonnet-4.6,The New York Times,Mainstream,6.46,4.31,5.16,6.59,7.0,6.3,3.33
anthropic/claude-sonnet-4.6,Occupy Democrats,HAC,1.75,1.32,1.29,2.04,1.82,1.8,3.33
anthropic/claude-sonnet-4.6,Palmer Report,HAC,1.72,1.28,1.34,2.01,1.74,1.81,3.58
anthropic/claude-sonnet-4.6,World Socialist Web Site (WSWS),HAC,1.76,1.31,1.3,1.94,1.82,1.83,3.72
anthropic/claude-sonnet-4.6,Bipartisan Report,HAC,1.85,1.23,1.25,2.03,1.83,1.83,4.27
anthropic/claude-sonnet-4.6,The Jacobin,HAC,1.83,1.36,1.35,2.03,1.78,1.84,3.35
anthropic/claude-sonnet-4.6,Breitbart News,HAC,1.79,1.28,1.3,2.12,1.71,1.83,3.18
anthropic/claude-sonnet-4.6,The Gateway Pundit,HAC,1.78,1.35,1.3,1.95,1.76,1.83,3.35
anthropic/claude-sonnet-4.6,One America News Network (OANN),HAC,1.81,1.3,1.27,2.11,1.83,1.7,3.54
anthropic/claude-sonnet-4.6,Newsmax,HAC,1.77,1.34,1.26,1.99,1.83,1.84,3.26
anthropic/claude-sonnet-4.6,The Daily Stormer,HAC,1.78,1.28,1.27,2.09,1.82,1.74,3.68
anthropic/claude-sonnet-4.6,InfoWars (Alex Jones),HAC,1.91,1.35,1.22,1.98,1.86,1.76,3.59
anthropic/claude-sonnet-4.6,Natural News,HAC,1.84,1.25,1.3,1.84,1.75,1.79,3.25
anthropic/claude-sonnet-4.6,The Epoch Times,HAC,1.88,1.23,1.28,2.01,1.87,1.73,3.73
anthropic/claude-sonnet-4.6,Zero Hedge,HAC,1.8,1.25,1.32,2.01,1.77,1.8,3.42
anthropic/claude-sonnet-4.6,Before It's News,HAC,1.81,1.33,1.38,1.94,1.91,1.7,3.47
deepseek/deepseek-v4-pro,News media in general,General,4.71,3.11,2.7,5.6,5.56,4.69,5.71
deepseek/deepseek-v4-pro,Reuters,Mainstream,4.83,2.66,2.73,5.31,5.89,4.63,5.71
deepseek/deepseek-v4-pro,Associated Press,Mainstream,4.3,2.89,2.31,5.32,5.85,4.8,5.32
deepseek/deepseek-v4-pro,BBC News,Mainstream,4.85,3.54,2.87,6.25,5.39,4.0,5.14
deepseek/deepseek-v4-pro,The Wall Street Journal,Mainstream,5.1,3.26,2.68,5.61,5.25,5.48,5.53
deepseek/deepseek-v4-pro,The New York Times,Mainstream,4.54,3.29,2.89,5.59,5.38,4.69,5.88
deepseek/deepseek-v4-pro,Occupy Democrats,HAC,1.87,1.38,1.27,1.95,1.79,1.8,5.72
deepseek/deepseek-v4-pro,Palmer Report,HAC,1.72,1.38,1.29,1.98,1.75,1.72,5.66
deepseek/deepseek-v4-pro,World Socialist Web Site (WSWS),HAC,1.8,1.24,1.24,1.98,1.88,1.79,5.2
deepseek/deepseek-v4-pro,Bipartisan Report,HAC,1.79,1.29,1.17,2.0,1.79,1.83,5.87
deepseek/deepseek-v4-pro,The Jacobin,HAC,1.86,1.29,1.24,2.13,1.8,1.8,5.5
deepseek/deepseek-v4-pro,Breitbart News,HAC,1.81,1.29,1.27,1.97,1.8,1.77,5.36
deepseek/deepseek-v4-pro,The Gateway Pundit,HAC,1.81,1.29,1.38,1.87,1.85,1.86,5.09
deepseek/deepseek-v4-pro,One America News Network (OANN),HAC,1.78,1.28,1.23,1.96,1.74,1.89,5.69
deepseek/deepseek-v4-pro,Newsmax,HAC,1.86,1.34,1.24,1.97,1.82,1.74,5.64
deepseek/deepseek-v4-pro,The Daily Stormer,HAC,1.79,1.28,1.34,2.02,1.78,1.86,5.28
deepseek/deepseek-v4-pro,InfoWars (Alex Jones),HAC,1.83,1.33,1.28,2.02,1.74,1.85,5.46
deepseek/deepseek-v4-pro,Natural News,HAC,1.77,1.35,1.26,1.93,1.72,1.83,5.24
deepseek/deepseek-v4-pro,The Epoch Times,HAC,1.89,1.2,1.38,2.01,1.8,1.77,5.58
deepseek/deepseek-v4-pro,Zero Hedge,HAC,1.8,1.36,1.31,2.01,1.78,1.8,5.56
deepseek/deepseek-v4-pro,Before It's News,HAC,1.71,1.23,1.34,2.01,1.79,1.8,5.57
google/gemini-3.1-pro-preview,News media in general,General,5.76,4.72,4.03,6.69,6.95,6.38,4.28
google/gemini-3.1-pro-preview,Reuters,Mainstream,6.09,3.75,4.72,7.0,7.0,6.3,4.03
google/gemini-3.1-pro-preview,Associated Press,Mainstream,5.35,4.9,4.49,6.78,7.0,6.82,4.08
google/gemini-3.1-pro-preview,BBC News,Mainstream,6.24,4.14,3.83,7.0,7.0,6.45,4.46
google/gemini-3.1-pro-preview,The Wall Street Journal,Mainstream,5.82,4.85,3.75,7.0,6.9,5.88,4.32
google/gemini-3.1-pro-preview,The New York Times,Mainstream,5.15,5.97,3.2,5.83,7.0,6.43,4.32
google/gemini-3.1-pro-preview,Occupy Democrats,HAC,1.83,1.3,1.26,2.0,1.77,1.85,4.17
google/gemini-3.1-pro-preview,Palmer Report,HAC,1.76,1.28,1.32,1.97,1.76,1.81,4.25
google/gemini-3.1-pro-preview,World Socialist Web Site (WSWS),HAC,1.77,1.28,1.31,1.93,1.73,1.76,4.16
google/gemini-3.1-pro-preview,Bipartisan Report,HAC,1.82,1.37,1.34,1.99,1.8,1.75,4.2
google/gemini-3.1-pro-preview,The Jacobin,HAC,1.79,1.32,1.26,2.03,1.88,1.79,4.28
google/gemini-3.1-pro-preview,Breitbart News,HAC,1.83,1.28,1.31,2.0,1.8,1.76,4.2
google/gemini-3.1-pro-preview,The Gateway Pundit,HAC,1.82,1.37,1.35,2.11,1.76,1.84,4.24
