Model,Risk_Issue,Involuntariness,Delayed_effects,Severity,Dread,Catastrophic_potential,Harm_to_future_generations,Lack_of_knowledge_exposed,Lack_of_knowledge_scientists,Unfairness,Riskiness,Unacceptability
openai/gpt-5.5,Sunbathing,1,5,2,2,2,3,1,1,1,4,4
openai/gpt-5.5,Food colourings,3,3,2,2,4,2,3,2,3,3,2
openai/gpt-5.5,Genetic engineering,4,3,4,2,5,4,4,2,4,3,3
openai/gpt-5.5,Nuclear power,5,4,4,2,5,3,2,1,4,4,2
openai/gpt-5.5,Mugging,5,3,3,4,1,2,1,1,5,4,4
openai/gpt-5.5,Home accidents,3,3,3,2,2,2,2,1,1,4,3
openai/gpt-5.5,Ozone depletion,5,5,4,4,5,4,2,1,4,5,4
openai/gpt-5.5,Car driving,1,4,4,2,3,4,1,1,4,4,3
openai/gpt-5.5,Microwave ovens,1,1,2,1,1,1,2,1,1,1,1
openai/gpt-5.5,AIDS,2,5,5,3,5,4,2,1,4,5,5
openai/gpt-5.5,War,5,5,5,5,5,5,2,2,5,5,5
openai/gpt-5.5,Terrorism,5,5,4,4,5,4,2,2,5,5,5
openai/gpt-5.5,Alcoholic drinks,1,5,5,2,2,4,2,1,2,4,4
anthropic/claude-sonnet-4.6,Sunbathing,1,4,3,1,2,3,1,1,1,3,2
anthropic/claude-sonnet-4.6,Food colourings,3,3,2,1,4,3,3,2,2,2,3
anthropic/claude-sonnet-4.6,Genetic engineering,4,4,4,2,5,4,3,2,3,4,3
anthropic/claude-sonnet-4.6,Nuclear power,4,4,4,2,5,4,3,1,4,4,3
anthropic/claude-sonnet-4.6,Mugging,5,4,3,3,2,3,1,1,3,5,4
anthropic/claude-sonnet-4.6,Home accidents,3,3,4,2,3,3,2,1,2,3,3
anthropic/claude-sonnet-4.6,Ozone depletion,5,4,4,2,5,4,2,1,4,4,4
anthropic/claude-sonnet-4.6,Car driving,2,4,4,2,4,4,1,1,2,3,2
anthropic/claude-sonnet-4.6,Microwave ovens,2,2,2,1,2,2,2,1,1,2,2
anthropic/claude-sonnet-4.6,AIDS,3,4,5,2,4,4,2,1,4,5,4
anthropic/claude-sonnet-4.6,War,5,5,5,4,5,5,1,1,4,5,4
anthropic/claude-sonnet-4.6,Terrorism,5,4,5,2,5,4,2,2,4,4,4
anthropic/claude-sonnet-4.6,Alcoholic drinks,2,4,4,2,4,4,1,1,2,4,3
google/gemini-3.1-pro-preview,Sunbathing,1,5,2,1,1,1,1,1,1,3,2
google/gemini-3.1-pro-preview,Food colourings,4,4,1,1,5,1,4,2,4,2,3
google/gemini-3.1-pro-preview,Genetic engineering,4,5,4,3,5,4,4,2,4,3,3
google/gemini-3.1-pro-preview,Nuclear power,5,5,4,1,5,4,4,1,4,3,3
google/gemini-3.1-pro-preview,Mugging,5,2,3,4,1,1,1,1,5,4,5
google/gemini-3.1-pro-preview,Home accidents,3,1,3,1,1,1,2,1,1,3,3
google/gemini-3.1-pro-preview,Ozone depletion,5,5,4,1,5,4,2,1,5,4,4
google/gemini-3.1-pro-preview,Car driving,1,4,4,1,2,3,1,1,3,3,2
google/gemini-3.1-pro-preview,Microwave ovens,1,1,2,1,1,1,1,1,1,1,1
google/gemini-3.1-pro-preview,AIDS,3,5,5,4,1,3,1,1,4,5,5
google/gemini-3.1-pro-preview,War,5,5,5,5,5,5,1,1,5,5,5
google/gemini-3.1-pro-preview,Terrorism,5,4,5,5,5,4,2,3,5,4,5
google/gemini-3.1-pro-preview,Alcoholic drinks,1,4,3,1,1,3,1,1,3,4,3
x-ai/grok-4.3,Sunbathing,1,5,2,2,1,1,2,1,1,3,3
x-ai/grok-4.3,Food colourings,4,3,1,2,2,2,4,3,3,2,2
x-ai/grok-4.3,Genetic engineering,4,3,3,2,4,4,4,2,4,3,3
x-ai/grok-4.3,Nuclear power,4,4,3,1,5,4,3,1,4,3,2
x-ai/grok-4.3,Mugging,5,1,4,1,1,1,1,1,5,5,5
x-ai/grok-4.3,Home accidents,4,1,3,2,2,2,3,1,1,4,3
x-ai/grok-4.3,Ozone depletion,5,4,3,2,5,4,2,1,4,5,4
x-ai/grok-4.3,Car driving,1,2,3,2,3,4,1,1,2,3,2
x-ai/grok-4.3,Microwave ovens,1,1,2,1,1,1,2,1,1,2,2
x-ai/grok-4.3,AIDS,3,5,5,1,1,3,2,1,3,5,5
x-ai/grok-4.3,War,5,4,5,3,5,5,2,2,5,5,5
x-ai/grok-4.3,Terrorism,5,3,4,1,5,4,2,2,4,4,5
x-ai/grok-4.3,Alcoholic drinks,1,4,3,1,2,3,2,1,2,4,2
