기술지주회사_익명,설립유형_변환,지역구분_변환,자회사수_변환,자회사규모_변환,자본금규모_변환,사업화수익보유여부,전담인력_변환,투자수익보유여부,국책사업비수익보유여부,연도,업력년수
A,1,6,4,15,15,1,4,0,0,2020,6
AA,1,3,4,20,15,1,1.5,0,1,2020,8
AC,1,1,0,15,5,0,1.5,1,0,2020,4
AE,1,3,4,20,60,1,9,1,1,2020,10
AF,2,3,7,20,60,1,9,1,1,2020,5
AG,1,1,0,5,5,0,1.5,0,0,2020,11
AH,1,1,0,15,45,0,0,0,0,2020,11
AI,1,1,1.5,20,60,1,7,1,1,2020,12
AJ,1,1,0,5,5,0,1.5,0,1,2020,2
AK,1,1,0,15,25,0,4,0,1,2020,8
AL,1,1,0,5,25,0,0,1,0,2020,8
AM,1,2,0,5,5,0,0,0,0,2020,4
AN,1,1,0,5,15,0,1.5,0,1,2020,4
AO,1,1,4,5,15,0,1.5,0,1,2020,3
AQ,1,1,4,20,60,1,9,1,1,2020,9
AR,1,3,0,5,15,1,1.5,0,1,2020,8
AT,1,1,1.5,5,15,0,1.5,0,1,2020,4
AU,1,3,9,15,5,0,1.5,0,1,2020,2
AV,1,1,0,15,45,0,1.5,1,0,2020,11
AW,1,1,0,5,5,1,1.5,0,0,2020,2
AX,1,5,4,20,45,1,9,1,1,2020,9
AY,1,7,0,15,15,0,1.5,1,1,2020,8
AZ,1,7,0,5,5,0,1.5,0,0,2020,0
B,2,6,1.5,20,45,1,4,1,1,2020,11
BA,1,5,1.5,15,15,1,1.5,0,0,2020,10
BE,1,3,1.5,15,15,1,1.5,1,1,2020,7
BF,1,1,1.5,5,25,1,1.5,0,1,2020,2
BG,1,5,4,5,5,1,1.5,0,1,2020,2
BH,1,1,1.5,15,5,1,0,0,0,2020,10
BI,2,4,0,20,60,1,4,1,1,2020,6
BJ,1,1,4,5,15,1,1.5,0,1,2020,2
BK,1,2,1.5,20,15,0,1.5,1,1,2020,6
BL,2,1,7,20,15,1,4,0,1,2020,4
BN,1,4,0,5,5,0,1.5,0,0,2020,0
BO,2,5,7,15,25,1,4,0,0,2020,2
BP,2,5,1.5,20,60,1,7,1,1,2020,9
BQ,2,4,4,5,5,0,1.5,0,0,2020,2
BR,1,2,4,5,5,0,1.5,0,0,2020,2
BS,1,5,4,5,5,1,1.5,0,1,2020,1
BT,1,1,1.5,5,15,0,1.5,0,1,2020,6
BU,1,3,4,5,5,1,1.5,0,1,2020,2
BV,1,2,1.5,20,25,1,4,1,0,2020,3
BW,1,2,4,15,15,1,1.5,0,1,2020,4
BX,1,4,4,15,45,1,9,1,1,2020,8
BY,1,1,1.5,5,5,0,0,0,0,2020,4
BZ,1,2,4,15,5,0,0,1,0,2020,4
C,2,5,4,20,55,1,7,0,1,2020,4
CB,1,1,0,5,5,1,7,0,1,2020,3
CC,1,2,7,20,15,1,1.5,1,1,2020,7
CD,1,6,1.5,5,5,0,4,0,0,2020,0
CE,1,1,1.5,20,60,1,4,1,1,2020,12
CF,1,1,4,5,25,1,1.5,0,1,2020,7
D,1,4,4,15,5,1,1.5,0,1,2020,3
E,1,2,0,5,5,0,0,1,0,2020,4
F,1,5,7,5,5,1,1.5,0,1,2020,1
G,1,1,0,5,25,1,0,1,1,2020,7
H,1,1,0,5,5,0,0,1,0,2020,3
I,1,6,1.5,15,15,1,1.5,0,1,2020,3
J,1,1,1.5,15,15,0,1.5,1,1,2020,8
K,1,1,1.5,15,45,1,1.5,1,0,2020,6
L,1,4,1.5,20,35,0,4,0,1,2020,7
M,1,3,1.5,15,5,1,1.5,0,1,2020,4
N,1,1,1.5,5,15,0,1.5,1,0,2020,11
O,1,1,4,20,60,1,7,1,1,2020,11
P,1,1,1.5,5,5,0,1.5,0,1,2020,1
Q,1,2,0,5,5,0,1.5,0,0,2020,3
S,1,2,0,5,5,0,1.5,0,1,2020,3
T,1,3,4,20,5,1,1.5,1,1,2020,6
U,1,2,9,20,25,1,4,0,1,2020,6
V,1,4,4,15,5,1,1.5,0,1,2020,3
W,1,2,1.5,15,5,1,1.5,0,1,2020,3
X,1,1,1.5,15,25,0,1.5,0,0,2020,10
Z,1,5,0,5,5,0,0,0,0,2020,10
A,1,6,7,15,15,1,4,1,1,2021,7
AA,1,3,4,20,15,1,1.5,1,1,2021,9
AB,1,3,7,10,5,0,1.5,1,1,2021,0
AC,1,1,0,15,5,1,1.5,1,0,2021,5
AE,1,3,1.5,20,60,1,0,1,1,2021,11
AF,2,3,1.5,20,60,1,9,1,1,2021,6
AG,1,1,0,10,5,0,1.5,0,0,2021,12
AH,1,1,0,15,45,1,0,0,0,2021,12
AI,1,1,1.5,20,60,1,9,1,1,2021,13
AJ,1,1,1.5,10,5,0,1.5,0,1,2021,3
AK,1,1,0,15,25,0,4,0,1,2021,9
AL,1,1,0,10,25,1,0,1,0,2021,9
AM,1,2,0,10,5,0,0,0,0,2021,5
AN,1,1,1.5,10,15,1,1.5,1,1,2021,5
AO,1,1,0,10,15,0,1.5,1,1,2021,4
AP,1,1,4,10,5,0,1.5,0,0,2021,0
AQ,1,1,7,20,60,1,9,1,1,2021,10
AR,1,3,1.5,10,25,0,1.5,0,1,2021,9
AT,1,1,4,10,25,0,1.5,0,1,2021,5
AU,1,3,4,20,15,1,1.5,1,1,2021,3
AV,1,1,0,20,45,0,1.5,1,1,2021,12
AW,1,1,0,10,5,0,1.5,0,0,2021,3
AX,1,5,4,20,55,1,9,1,1,2021,10
AY,1,7,1.5,15,15,0,1.5,1,1,2021,9
AZ,1,7,1.5,10,5,0,1.5,0,0,2021,1
B,2,6,4,20,45,1,4,1,1,2021,12
BA,1,5,0,15,15,0,1.5,0,1,2021,11
BE,1,3,0,15,15,0,1.5,0,1,2021,8
BF,1,1,9,20,60,1,4,1,1,2021,3
BG,1,5,4,15,5,0,0,0,1,2021,3
BH,1,1,0,15,5,0,1.5,1,1,2021,11
BI,2,4,1.5,20,60,1,4,1,1,2021,7
BJ,1,1,1.5,10,15,1,1.5,1,1,2021,3
BK,1,2,1.5,20,15,1,1.5,1,1,2021,7
BL,2,1,7,20,15,1,4,1,1,2021,5
BM,1,1,0,10,35,1,1.5,0,0,2021,0
BN,1,4,4,10,5,1,4,0,1,2021,1
BO,2,5,7,15,35,1,4,0,1,2021,3
BP,2,5,0,20,60,1,7,1,1,2021,10
BQ,2,4,0,10,5,0,1.5,0,0,2021,3
BR,1,2,1.5,10,5,0,4,1,0,2021,3
BS,1,5,4,15,5,1,1.5,0,1,2021,2
BT,1,1,0,10,15,0,0,1,1,2021,7
