기술지주회사_익명,설립유형_변환,지역구분_변환,자회사수_변환,자회사규모_변환,자본금규모_변환,사업화수익보유여부,전담인력_변환,투자수익보유여부,국책사업비수익보유여부,연도,업력년수
A,1,6,4,15,15,1,4,0,0,2020,6
AA,1,3,4,20,15,1,1.5,0,1,2020,8
AC,1,1,0,15,5,0,1.5,1,0,2020,4
AE,1,3,4,20,60,1,9,1,1,2020,10
AF,2,3,7,20,60,1,9,1,1,2020,5
AG,1,1,0,5,5,0,1.5,0,0,2020,11
AH,1,1,0,15,45,0,0,0,0,2020,11
AI,1,1,1.5,20,60,1,7,1,1,2020,12
AJ,1,1,0,5,5,0,1.5,0,1,2020,2
AK,1,1,0,15,25,0,4,0,1,2020,8
AL,1,1,0,5,25,0,0,1,0,2020,8
AM,1,2,0,5,5,0,0,0,0,2020,4
AN,1,1,0,5,15,0,1.5,0,1,2020,4
AO,1,1,4,5,15,0,1.5,0,1,2020,3
AQ,1,1,4,20,60,1,9,1,1,2020,9
AR,1,3,0,5,15,1,1.5,0,1,2020,8
AT,1,1,1.5,5,15,0,1.5,0,1,2020,4
AU,1,3,9,15,5,0,1.5,0,1,2020,2
AV,1,1,0,15,45,0,1.5,1,0,2020,11
A,1,6,7,15,15,1,4,1,1,2021,7
AA,1,3,4,20,15,1,1.5,1,1,2021,9
AB,1,3,7,10,5,0,1.5,1,1,2021,0
AC,1,1,0,15,5,1,1.5,1,0,2021,5
AE,1,3,1.5,20,60,1,0,1,1,2021,11
AF,2,3,1.5,20,60,1,9,1,1,2021,6
AG,1,1,0,10,5,0,1.5,0,0,2021,12
AH,1,1,0,15,45,1,0,0,0,2021,12
AI,1,1,1.5,20,60,1,9,1,1,2021,13
AJ,1,1,1.5,10,5,0,1.5,0,1,2021,3
AK,1,1,0,15,25,0,4,0,1,2021,9
AL,1,1,0,10,25,1,0,1,0,2021,9
AM,1,2,0,10,5,0,0,0,0,2021,5
AN,1,1,1.5,10,15,1,1.5,1,1,2021,5
AO,1,1,0,10,15,0,1.5,1,1,2021,4
AP,1,1,4,10,5,0,1.5,0,0,2021,0
AQ,1,1,7,20,60,1,9,1,1,2021,10
AR,1,3,1.5,10,25,0,1.5,0,1,2021,9
AT,1,1,4,10,25,0,1.5,0,1,2021,5
AU,1,3,4,20,15,1,1.5,1,1,2021,3
AV,1,1,0,20,45,0,1.5,1,1,2021,12
