,Coefficient,Std_Error,p_value,Significance
const,-3.4625523758558576,1.0149031571833902,0.0006455742444708777,***
업력년수,-0.08303252120757303,0.0528746884143153,0.11633039106123977,
설립유형_변환,1.0693271490323168,0.8574021538855735,0.21233478361033153,
지역구분_변환,0.07924470873955061,0.09732742915852348,0.41552617224248767,
자본금규모_변환,0.016030281292615464,0.014908842851038504,0.28227638485188666,
전담인력_변환,0.26461506544852303,0.12095465649890899,0.028689917336848367,**
자회사규모_변환,0.1560503740943837,0.03399056606921449,4.411469097710851e-06,***
N_obs,228.0,,,
Pseudo_R2,0.25997961594999686,,,
Log_Likelihood,-114.07188917467471,,,
